20 10000
12 -14 6
6 -1 2
2 -4 10
-6 4 3
5 3 14
-45 -26 1
-6 20 5
21 9 11
0 7 14
-19 6 9
27 -16 4
26 10 10
-3 25 12
-2 -33 16
-11 -6 6
-16 -1 6
5 0 2
8 -44 10
27 30 6
16 8 6
13 -9 4533 1
23 -9 3693 739
-20 25 7627 1
3 -21 5746 1
10 -2 8645 1
-3 25 310 353
0 -4 2913 957
16 -8 4656 1
10 -1 1780 1
-22 3 13082 1475
3 15 3632 1
-11 -2 355 168
24 -30 4821 825
10 38 5158 1
-11 13 0 952
-23 16 9227 485
-13 9 0 1
-17 -1 11030 1
-17 17 10102 1
20 4 7042 113
9 -1 2865 1044
2 38 952 1
-9 0 0 452
35 19 399 290
-27 4 3778 316
28 -19 6181 1
15 -16 4229 1
4 0 714 1
11 -23 310 205
0 -6 5334 1
-5 19 4741 1358
-38 42 477 71
1 -34 0 662
-6 14 5939 1
10 3 3759 56
40 21 3397 664
-34 -8 3627 1606
11 -17 10649 1
21 42 4292 1
5 40 4787 1
-2 -33 12729 1480
-30 -28 1302 311
4 -11 9263 1246
19 -10 0 1830
10 -21 4311 277
-34 -8 9077 1
-15 18 5967 1
-3 -13 9243 44
-6 -24 1795 1
-7 -23 1510 1
7 13 9593 199
-1 -18 8532 1
28 17 8106 209
18 26 8600 1
21 -29 7200 1
-31 1 3282 1545
9 22 10847 571
0 35 8165 1
-1 27 0 1
13 -33 0 1
14 8 3797 2251
16 -13 14113 449
18 -15 3363 552
-25 25 9705 111
18 42 7965 1
26 -25 1514 1
12 -16 7727 1239
0 25 6707 1
-12 12 6966 340
-1 -13 5416 584
15 -7 3471 293
-14 -29 7134 1610
-20 -26 7637 488
-22 -8 0 665
-19 33 14027 699
-13 -1 0 920
1 -4 11704 906
-8 5 0 327
8 0 3473 1
-3 -2 10643 1049
12 -25 3348 1
-2 5 13298 252
13 25 976 624
-16 -13 12535 1
-34 -37 6675 248
1 35 12921 522
-9 6 1466 70
30 2 0 1
-43 -21 7343 1405
20 -6 7854 1
20 17 13584 977
11 -6 6941 145
13 3 8474 1
21 -13 0 1
7 6 6237 1
-14 -3 14659 923
-3 18 15685 366
18 1 11531 641
6 -10 3054 1
17 10 1247 1
-6 -53 4060 1945
22 5 9486 1
17 -9 4421 279
-4 -3 5600 348
-2 -8 11758 273
11 12 6580 287
32 -23 9864 1
-71 -12 6428 1485
-16 -11 0 185
-12 -33 3254 1
33 -8 4394 1010
-5 0 4958 1003
5 -4 5316 1
10 -6 4453 906
-6 28 1191 877
4 18 8195 1
-12 3 8319 1
5 7 0 1
29 18 6104 1604
19 35 17564 640
-17 -1 6962 1
18 12 5510 1
0 -17 10938 305
-46 -14 11123 2108
7 3 3080 1
-14 -7 6187 2828
-6 16 995 1
-9 0 3823 1
-19 6 2611 1
0 -14 0 689
-8 0 778 1
23 -24 6675 2057
16 -5 10173 1
-12 -30 0 1
-20 -15 10098 876
-7 14 0 2619
-6 1 0 551
0 10 3368 819
1 6 3744 1
-47 -43 5538 1
27 -4 5779 1
-16 -10 2229 1
-22 -4 9088 1054
28 -9 3104 1
-22 -17 16367 1
-14 -7 7607 763
-7 0 16814 1
3 -12 8541 237
4 34 5138 852
-22 46 7983 1
-8 9 0 1
28 -5 7387 1
9 3 471 1
-3 24 5635 325
43 18 0 1
-8 -9 8601 1
-16 -4 6406 1053
10 28 0 1
-7 -4 0 1376
-9 5 7969 2119
-16 6 6752 1
-3 -10 10388 242
-7 11 0 767
-23 33 11610 1
-27 -7 1261 1
-30 -22 4255 1315
-7 -16 8032 856
7 -15 3827 1519
-13 -3 3579 2008
28 -6 6501 1845
-20 6 16677 1735
-13 -9 18516 1
-5 -15 7238 665
21 -4 3306 152
7 12 4179 160
2 10 0 2107
-21 30 4568 1
13 -30 2851 36
17 6 11872 1
-18 24 5225 1
22 29 5119 357
-5 -16 5829 1
-7 -24 7665 874
23 0 1464 890
-25 2 9458 1
4 -7 7889 1
0 -11 4328 139
-31 -8 15079 12
6 10 14616 1258
-69 20 5099 1
-10 -40 0 1
-2 6 3078 683
20 -24 8311 1
7 -1 2715 1600
-7 -1 11739 530
11 11 6717 345
-17 2 0 1
-33 -20 2651 1
-43 -47 0 1048
0 -10 9031 1
-2 5 14277 718
-52 13 747 1135
-3 -24 6523 781
52 -17 0 1292
5 -15 7687 232
43 32 0 769
13 0 0 1038
11 32 10182 849
-32 27 14573 1
18 35 423 1
-8 -25 9150 2202
-22 -9 2703 558
14 -6 16765 1
42 34 1579 808
-13 11 6894 979
6 1 9015 1
6 1 13747 457
1 -49 5170 1063
-15 -10 3823 1
8 -15 10385 1143
8 0 7030 661
-30 17 0 1403
-11 -9 787 1
-5 -28 6583 1902
0 23 3324 1201
-32 -6 0 746
-2 -24 2729 1
0 -20 2913 1
-20 -31 2421 1
3 8 3258 1
35 14 0 1
35 1 5321 15
-2 0 2491 1
18 -8 4132 614
-21 5 289 1
18 -23 8259 1107
36 -22 4521 1699
-31 13 6388 1
2 0 178 1
18 -9 7192 1102
7 -2 0 204
3 -26 14291 1
-28 0 3275 1061
-6 -5 11506 1459
0 11 4556 1618
47 10 15722 1
6 2 1198 1
18 -6 6586 338
0 -22 5742 288
8 10 13762 1276
-14 -9 6613 1
-6 -8 0 42
11 -27 4980 1
19 15 2866 1489
-16 11 17088 1
12 12 11102 1030
54 0 5696 1
35 2 9540 1
-13 12 4179 128
57 -31 2087 240
-10 -7 5787 1251
40 -9 576 348
3 4 12409 390
-17 14 8412 610
10 19 14422 111
28 -9 5903 2170
-19 -8 4149 1
7 -23 2789 1962
4 12 16579 2618
23 18 9243 1228
8 -10 13078 471
22 -2 10641 700
42 -6 4687 1
17 -25 0 1
-18 -2 5692 1
-13 -26 9173 1
14 -42 2944 1
58 -29 10204 1
31 38 9029 1746
47 1 3974 664
1 22 9389 1
17 9 0 782
22 29 1828 1096
6 21 5821 1
-21 -3 2092 120
-24 -6 13653 1888
-4 -18 213 1
-17 -42 6174 1
5 25 9896 3
0 18 4713 1
-19 -2 1164 623
-23 46 8062 1
27 -14 7544 1
16 7 4115 103
-10 14 4200 1
12 10 12381 1
13 0 2498 95
14 -27 11778 1
26 45 12744 1
17 -8 3361 1
4 11 2837 1
20 15 6751 1
-10 14 4618 1242
27 -21 13190 581
8 6 5430 1
-1 -29 4306 1
-54 9 6877 1436
4 -4 0 624
24 6 1239 113
5 11 2936 389
-13 4 0 1228
-8 -5 12209 1
46 9 0 2024
-2 -17 625 1
36 2 7958 557
29 -40 8498 1
12 3 3158 1
-19 1 0 1
-1 15 6563 1
-9 20 5578 946
34 14 15395 1
14 -6 0 1
-11 -19 14331 536
-24 38 2135 550
-11 32 9161 1435
11 -3 6313 1
12 41 3582 991
10 -8 11184 2338
41 -14 0 1119
21 -9 8722 1
-11 7 5819 1
-29 0 2736 1
-20 -23 9719 27
6 45 2644 1259
-24 2 11680 1
23 -14 8559 1
-15 13 3615 1
-6 -20 0 1910
-20 33 0 1
33 31 13232 380
12 -22 1122 360
-4 -9 8308 388
-2 -9 5786 1
4 1 3316 674
3 -9 4134 1
8 -5 4385 1288
-9 -6 1886 443
-20 -8 1973 160
5 -7 11926 203
-23 2 8602 1358
-34 -6 0 1
6 14 7916 1
33 29 7526 63
18 31 4078 1
13 34 0 1885
5 -40 900 1000
-40 1 1212 960
0 -22 4768 1379
-5 19 1943 429
20 -21 0 2192
-3 12 3972 2220
-1 3 5288 91
-9 -30 14349 1
-16 3 4013 1
-34 14 10055 1
22 2 0 295
-9 38 9629 370
-9 12 2336 533
26 31 0 2047
-25 -2 862 1
-26 4 5418 1
-2 8 1392 1
-15 -12 1369 1
0 -38 5588 1
20 3 5311 486
3 -18 2647 1
-1 -9 14 1
-15 -18 5146 1
-4 8 98 1
11 38 8326 2067
5 12 6624 1
6 -62 2527 1
9 -8 4932 1
29 10 11143 1
-12 16 3936 1
3 -28 522 1
18 -2 4165 109
-21 -11 2332 1372
-12 -16 8395 819
12 -10 3140 1
15 -8 0 1
32 1 2191 1
-19 6 4819 1
-14 7 12597 472
30 -5 13681 1386
-30 -36 10505 1
2 -12 7599 1705
-7 13 59 1194
10 32 13604 1
19 -1 11142 645
7 1 7748 349
12 -9 1907 119
-26 -20 22783 1
-1 -16 5215 1307
7 -32 3615 1408
3 15 6926 1
-14 -1 0 1988
37 10 1565 1280
13 20 0 1
0 -35 1922 1353
-22 -14 211 167
31 6 0 1374
1 11 9289 1
1 -20 4680 1
2 -26 13055 302
20 -9 11974 1
-11 -10 6195 1
1 37 10702 931
18 -40 11250 1
-19 -2 1291 1
9 14 1267 1
-10 -16 1404 1
-30 2 0 1
-7 -1 3381 986
16 18 4968 530
15 -15 3169 1
26 -16 3843 1
-17 -36 2992 1
-19 -10 1978 1
15 26 9207 559
-1 13 5987 1
-16 7 7216 1
-34 -9 7756 215
-12 -17 472 1824
1 8 0 42
0 -21 9543 1
-33 31 9850 1
-37 -16 2626 452
-7 -13 7996 718
41 8 10184 1
7 -7 7139 557
-13 13 1203 1
-24 -30 14029 270
-46 -10 8414 189
18 15 9520 794
-18 20 4965 1
-13 -24 6799 1
-9 -9 4915 1
-6 -35 9499 1
5 -26 12458 266
-6 27 0 1
24 32 12012 1
-27 1 13478 1
-17 8 0 1
0 43 0 160
17 4 4100 307
2 15 2786 1354
-31 -15 5906 1
-5 9 2534 1
-26 -3 11099 207
13 -31 8773 1
15 -4 6616 1
40 -25 1345 772
7 -7 0 1
29 4 1253 1
-7 -5 14181 1218
9 32 2149 1
-27 -7 4992 1402
-5 -27 4009 1
-6 17 3776 1
-27 -5 15264 1059
-46 -24 0 482
-6 19 7048 1431
8 -8 0 478
-4 -3 8058 1
11 13 2185 1
-2 6 9479 1
-4 18 13478 1
0 15 0 1056
-27 -13 10671 489
21 13 7699 695
3 -3 15497 1
1 5 9069 655
-13 9 4416 1
3 -17 13503 631
-2 -7 3492 1
6 -31 6254 631
41 -6 5937 1
10 -9 3570 322
41 -18 8528 1
-10 -15 7492 275
-30 12 7681 956
15 15 2493 1
-10 -3 15627 218
0 0 3829 1
0 -7 0 79
-34 1 5921 1156
-9 -3 1589 694
4 12 4072 1
16 26 5190 1
18 -36 15366 102
0 -17 5404 37
-7 -25 1409 1
5 0 1393 1
6 0 0 1
0 2 11911 1
13 10 6311 1
-5 10 4263 702
-5 -21 12476 1
-23 -13 10283 860
18 0 1106 1
-7 8 3756 1
33 -16 2162 144
10 11 2643 213
40 -2 3573 1282
39 -5 0 584
-11 24 3592 663
-3 -38 15818 1
9 34 6067 1
-18 53 3777 1
55 -17 4404 1
-4 -15 2719 1
12 32 7509 1
6 15 454 1310
-11 2 7582 43
8 -8 7226 231
-15 18 2733 1
-8 -5 2227 794
31 -24 0 885
12 0 7038 1
-4 2 6318 1
-16 -4 11646 1
0 12 9076 954
25 21 0 1
1 -25 5811 3151
29 3 16711 190
6 10 7124 313
-14 10 2400 872
-16 18 6619 1
-15 10 2528 1
-11 32 5937 681
26 17 390 972
-1 -4 140 1
0 47 2369 716
22 9 6693 1366
7 23 4393 1
-18 6 0 230
-20 12 4592 1
3 -21 2659 1
-2 1 4445 1
-17 -6 7417 1201
1 -11 11166 646
-2 -27 0 1
-19 33 12056 682
-5 8 9875 1
-6 22 2732 1
2 9 9421 1283
-16 4 6153 775
2 24 6240 917
9 13 16965 1
8 -15 5001 1843
21 0 3549 1
35 18 3437 1126
33 -1 0 1676
-23 23 6815 1
0 15 4897 541
2 -37 0 538
52 26 2225 1
5 -13 0 1
-14 -22 1719 1081
-1 -8 0 1858
6 28 6159 1654
5 17 4044 324
-3 -18 2619 1
-30 -17 2172 468
-43 11 9377 1
-14 -4 1589 211
17 4 4123 1
-34 -19 14907 1
-52 -18 0 732
7 10 8824 63
20 2 5430 1
-9 -5 2314 1303
19 -16 10473 1556
-3 -9 11425 1
-14 -6 3915 1
27 23 2581 1
-32 3 0 1
12 0 4092 1
45 3 7048 1
36 8 6117 1
32 -8 10998 1
18 10 25 855
0 3 6173 1
18 -34 12670 1
14 48 12695 205
-11 3 10000 167
2 42 0 1402
-10 24 1415 1
30 -18 8435 1
3 18 0 191
20 9 3768 1
20 -4 2793 1
-38 8 3388 1712
-35 -2 5480 66
-3 -11 2425 289
-3 -15 7105 835
13 15 3193 1
-18 3 9760 386
18 -37 13011 1
4 -5 3261 1
2 15 436 1
18 30 0 127
16 -9 0 1
18 4 0 1062
-1 -20 13476 1
34 -11 1229 907
-21 -45 5804 1498
-21 -16 6411 1
14 -30 13116 1
32 4 9418 1607
23 16 7703 1003
-15 -50 1910 1
10 -4 8161 373
29 -26 574 1
-7 29 1733 1
-11 2 9856 1
39 -14 1839 53
33 20 1429 2674
-19 13 6129 1
-10 -25 12028 1626
46 -5 0 1114
-43 -34 0 1
-23 -17 1232 1
17 -19 5125 449
3 13 9759 1479
9 -10 11753 1550
28 3 5857 942
12 -11 2127 1
-2 23 3923 305
17 -30 1681 1
10 20 8081 756
28 8 8836 1
0 -5 9741 629
14 -35 7003 1
34 -3 7150 443
4 26 11061 269
-6 23 8316 1483
-13 -27 6227 113
-6 4 3907 585
1 20 3412 1
10 9 4373 1770
-10 18 5482 799
-31 -39 0 1429
17 -17 1936 1
-44 -11 16456 1
-26 -18 3255 1027
-39 28 10819 1
56 20 0 1
-36 10 4050 407
0 4 16096 1
-20 -26 5844 1182
-4 25 2298 1
-27 -18 0 1003
-9 5 10632 1422
-8 4 0 1
6 9 16146 1
-31 -10 7591 892
24 11 8706 1
-22 -5 0 1
15 0 15277 140
-25 7 9900 1499
25 -41 0 1
3 -25 14003 691
-1 23 9873 1
-2 -65 5791 293
13 7 3701 1
1 -4 5120 1
9 -2 5423 561
16 -22 5256 1083
-8 -17 14660 1
1 11 3411 1
18 32 4650 1534
-3 -5 5948 702
-20 16 12544 615
45 -1 3384 1831
-28 5 1296 1
3 18 0 140
-13 15 15739 1
5 -9 11064 796
-5 -4 9400 1
-19 -24 9208 1
-11 0 5633 1
-22 5 10987 1
3 -1 10049 319
8 30 8286 1251
-23 12 1885 1
-32 -26 9313 1
20 4 3761 1
36 -24 11121 1
1 -8 0 1
13 24 2628 1
0 -12 2514 1
-3 -32 6960 822
13 35 6104 312
-27 -14 0 1
-14 30 589 1
0 -7 11782 190
15 -29 0 375
-11 34 0 1170
3 -9 12128 1300
22 -4 7280 523
-21 -26 0 1
45 13 1027 1
-4 33 4460 1
-38 -35 6312 123
-13 -7 9487 1
12 13 4709 1
-16 -10 0 440
-33 17 0 817
-25 9 9656 644
-9 -15 418 1
-16 24 6356 377
6 6 7028 633
3 3 8602 1
-2 -21 8570 406
-4 0 0 1
-23 47 7226 1
-19 -23 14266 1
16 20 6343 737
4 2 0 109
16 1 2199 1
11 2 504 1
48 -22 7176 298
-8 -20 10084 1
2 4 10944 199
9 1 9580 1
12 -20 3848 81
7 -20 4338 2058
-4 -8 0 1
2 -16 9957 1
-15 -2 619 1874
-2 -2 533 103
3 -12 8588 1425
-46 0 1543 1
-21 -13 6797 443
10 12 6041 1
-5 13 802 17
11 30 5244 54
10 11 13460 1
22 11 13575 1
39 -20 5419 798
28 10 2822 569
4 -4 9952 758
-31 22 0 720
30 22 7484 1
-14 -1 5724 1
-3 -27 3954 1
1 17 0 1
21 -5 424 1
-23 -13 6380 81
-16 -14 2672 1893
5 25 0 918
15 4 5756 1
42 -3 0 1
6 -11 5894 589
5 16 7475 1
-5 5 0 1920
24 10 4124 945
13 56 6238 1
1 11 7460 574
0 -27 8835 1
14 -15 3192 1
0 14 179 927
6 3 7759 1
-15 -27 1695 165
23 -28 6252 400
23 -10 7340 781
19 15 4580 1
-23 7 6174 1
-19 28 6048 1335
-8 -1 0 1
14 -16 0 93
-9 -6 2331 197
33 6 7275 1
-22 -12 3685 721
-5 12 12310 1054
32 -9 2865 657
-27 -8 9567 1
1 -10 5060 1136
4 25 0 1243
12 10 4866 618
-3 34 0 1
-34 6 5679 15
4 -12 8032 190
26 -18 2119 1
0 -36 0 190
9 20 10557 473
1 -16 3619 1221
-26 -32 5661 1730
21 -29 0 1135
-3 20 0 1
19 9 8516 1
-8 16 7941 1182
-1 0 1156 712
10 -1 6337 1149
-27 1 6122 374
-25 2 8292 1
11 44 906 1
-18 6 11524 1
28 49 4202 1
-8 33 7772 133
-19 -5 0 1
12 20 10990 1
0 3 5772 1
-16 -2 3771 718
-17 -14 4181 79
32 -26 7728 1
-18 6 4921 243
36 0 7006 1
21 21 7870 1
16 -8 1444 1
10 5 1671 318
27 -22 12614 381
30 -28 10101 238
-10 -24 19655 865
5 -6 3729 1
